"IDNOTICIA","TITULO","TEXTO","DISTANCIA"
38,"FA charges Liverpool and Millwall"," Liverpool and Millwall have been charged by the Football Association over crowd trouble during their Carling Cup match on 26 October.  Millwall, who lost the match 3-0, have also been charged over alleged racist behaviour by their supporters. During the match at Millwall's new Den Stadium, seats were ripped up and four people were ejected from the ground. A disabled fan was injured at the perimeter of the pitch and riot police were needed to control the situation. Liverpool fans claimed the trouble was sparked by chants about the Hillsborough disaster, where 96 supporters were crushed to death in April 1989. But Lions chairman Theo Paphitis has denied the claims. He has said CCTV footage showed the catalyst for the trouble was a Liverpool fan attacking a Millwall fan in the west stand. However, Millwall have been charged with two breaches of FA rules. They have been charged with failing to ensure that fans refrained from racist and/or abusive behaviour and for failing to prevent spectators throwing missiles onto the pitch. Liverpool have been charged with one breach for failing to prevent their fans conducting themselves in threatening and/or violent and/or provocative behaviour. Both clubs have until 23 December to respond. ",0.6710664063314316
13,"Mourinho takes swipe at Arsenal"," Chelsea boss Jose Mourinho has attempted to pile the pressure on title rivals Arsenal ahead of the Gunners facing Newcastle on Wednesday.  Arsenal will play the Magpies a day after Chelsea beat Portsmouth during a busy festive programme. And Mourinho said: ""They always seem to have two or three days' rest in which to recover. Perhaps it's something to do with the television schedule. ""All my players are tired, especially John Terry.""  Chelsea boss Jose Mourinho admitted his side were ""lucky"" to win at Fratton Park but is still unhappy with the amount of games in such a short space of time during this time of year. He added: ""We have had to play two matches in three days which is foreign to many of my players and, although I understand the traditions of football here at this time of year, it is not good for your health to do it.  ""You can sit back and smoke cigars, one after another, and it is a good life, but it is not actually good for you. ""Playing so many games is certainly not healthy, especially for teams who still have European commitment."" ",0.6807795579054481
66,"Ferguson urges Henry punishment"," Sir Alex Ferguson has called on the Football Association to punish Arsenal's Thierry Henry for an incident involving Gabriel Heinze.  Ferguson believes Henry deliberately caught Heinze on the head with his knee during United's controversial win. The United boss said it was worse than Ruud van Nistelrooy's foul on Ashley Cole for which he got a three-game ban. ""We shall present it to the FA and see what they do. The tackle on Heinze was terrible,"" he said. Clubs are permitted to ask the FA to examine specific incidents but information is expected to be provided within 48 hours of the game. The clash occurred moments before half-time when a Freddie Ljungberg challenge left Heinze on the ground on the left touchline. Henry, following the ball, attempted to hurdle the Argentine but his knee collided with the back of Heinze's head.  The striker protested his innocence - and referee Mike Riley deemed the collision accidental. Ferguson was also upset by Arsenal's overall discipline during the heated encounter between the two arch-rivals and praised his own side's behaviour. ""Edu produced a terrible tackle on Scholes that was a potential leg-breaker,"" he said. ""There were 24 fouls in the game by Arsenal, seven on Heinze, five on Ronaldo, six by Vieira - and it was only his sixth foul that got him booked. Phil Neville got booked for his first challenge. ""I am proud of my players for the way they handled that pressure. ""We have always been good at being gracious in defeat. What happened on Sunday overshadowed our achievement, but then they do it all the time, don't they?"" ",0.701693296558654
130,"Gallas sees two-horse race"," Chelsea's William Gallas believes they will battle it out with Arsenal for the Premiership in the coming months.  ""It'll be a two-horse race all the way to the end of the season because we are both going to give it everything,"" he told BBC Sport. ""You need to be good and you need a lot of luck. You need a bit of both but it will be as hard for the Arsenal players as it is for the Chelsea boys."" ""We know that we have got the power in our hands just now,"" added Gallas.  ""But you never know what is going to happen in football - two seasons ago Manchester United picked up so many points towards the end of the season when they won the title. ""Obviously, nobody at Chelsea wants to come second but you never know what happens in football. ""We will be challenging to come first as much as every Arsenal player will be challenging to come first."" Gallas has been given extra confidence by the impact manager Jose Mourinho has had since taking over as manager during the summer.  And the French international defender believes Mourinho is perfectly suited to boss the squad of Chelsea stars and says his managerial expertise will prevent any player revolt. ""It's only normal when you have got a team put together of such big names that you put the finishing touch to it and the finishing touch at Chelsea is a fantastic manager like Mourinho,"" he said. ""He is the icing on the cake at the club. He has this fantastic knack of thinking of everything. ""Another incredible quality that Mourinho has is that every player, even though the fans may consider them to be a stars, within the dressing-room they are absolutely equal. ""Mourinho reminds everyone but he doesn't have to because he has created a wonderful atmosphere where everybody is playing and laughing every day. ""It is a changed dressing-room from the atmosphere there was last year.""  ",0.7033583331130433
95,"FA probes crowd trouble"," The FA is to take action after trouble marred Wednesday's Carling Cup tie between Chelsea and West Ham.  Police in riot gear were confronted by a section of the West Ham support after the match which the Blues won 1-0. Mateja Kezman, the scorer of Chelsea's goal, needed treatment on a head injury during the match after being hit by a missile, believed to be a coin. A spokeswoman for Chelsea said the club would await the referee's report before deciding on its course of action. Kezman was forced off the field to receive treatment on a cut above his eye but was able to continue.  Chelsea assistant boss Steve Clarke said: ""I would rather talk about the football but we think it was something thrown from the crowd. He did not require stitches."" West Ham boss Alan Pardew said: ""It's a shame because I thought there was good English banter in the crowd. ""There's big rivalry between the two clubs and it is a shame if that's happened. From where I was standing I didn't see any trouble."" Former Hammers star Joe Cole also had a plastic bottle thrown at him, while Frank Lampard was pelted with coins as he was preparing to take a penalty. Lampard's spot-kick was saved to the delight of the Hammers' fans, who have still not forgiven him for leaving Upton Park. The FA will seek reports from the clubs and the police, and will review video evidence and the referee's report. Police in riot gear battled with West Ham fans in the Matthew Harding stand and at least one supporter required treatment. Fans are also thought to have clashed outside the ground after the game. Scotland Yard said there had been 11 arrests for alleged public order, drugs and offensive weapon offences.  The FA is already looking into the trouble at Tuesday's heated Carling Cup tie between Millwall and Liverpool. ",0.7237844614363402
101,"Robertson out to retain Euro lure"," Hearts manager John Robertson hopes a place in the knock-out stages of the Uefa Cup could help keep some of his out-of-contract players at the club.  ""It could help. If we get through and have another European tie it may encourage players to stay at least until the end of the season,"" he said. ""If we manage to get through it shows how well the club's progressing. ""They have to think whether they are going to get other clubs like that should they decide to move on."" A win for Robertson's side against Ferencvaros would put them through to the last 32 if Basle fail to beat Feyenoord. ""It's very much the player's prerogative but the fact that we've been playing European football for the last three or four years is obviously an incentive,"" added Robertson. ""But we want players who want to play for the football club, who are committed and a run in Europe always helps a little bit."" With the game being played at Murrayfield instead of Tynecastle because of Uefa regulations, Robertson sees both positive and negative aspects to the change of venue.  ""The pitch is not in the greatest condition. The Heineken Cup game was there at the weekend and the pitch is a bit threadbare,"" he said. ""It's not ideal but it's the same for both teams so we just have to go out and there and perform. That's the most important thing."" But he added: ""If Tynecastle could have hosted 30,000 it would have been fantastic but that's one of the benefits of Murrayfield - it allows us to bring even more of our supporters into it. ""There will be a good atmosphere and the Hearts fans have an important role to play. ""We need their encouragement, we need them to get right behind the side and make it as good an atmosphere as possible. ""Hopefully the players will respond to that and I know they will because it's a fantastic European night for the club."" ",0.7277796729573258
126,"Holmes starts 2005 with GB events"," Kelly Holmes will start 2005 with a series of races in Britain.  Holmes will make her first track appearance on home soil since winning double Olympic gold in January's Norwich Union International in Glasgow. She will also run in the Grand Prix in Birmingham in February and may defend her indoor AAA 800m title in Sheffield earlier that month. ""I am still competitive and still want to win,"" she said. ""I'm an athlete and I can't wait to get back on the track."" She added: ""These events are also a great opportunity to thank the British public for the enormous levels of support they have given me from the moment I stepped off that plane from Greece."" The Glasgow meeting will see Holmes compete over 1500m in a five-way match against Sweden, France, Russia and Italy. ",0.735260924210374
103,"McClaren hails Boro's Uefa spirit"," Middlesbrough boss Steve McClaren has praised the way his side have got to grips with European football after the 2-0 Uefa Cup win against Lazio.  Boro, who are playing in Europe for the first time in their 128-year history, are top of Group E with maximum points. ""I think we have taken to Europe really well,"" said McClaren. ""We got about Lazio, didn't let them settle or play. And in possession, we controlled it and looked threatening every time we went forward."" Before the match, McClaren had said that a win over the Italian giants would put Boro firmly on the European footballing map. And after they did just that he said: ""It was a perfect European night. For the team to give the fans a performance like that was the icing on the cake. ""There have been many good performances but this was something special.  ""You can see that the experience we have in the squad is showing. To win in Europe you need to defend well, and we have done that because we have conceded only one goal in four games. ""We can also score goals, and again that is something you can see from the performances we have had, so we have good balance. McClaren's only criticism of his side was that their dominance should have been resulted in more goals. ""It should have been more convincing,"" said McClaren. ""But I had watched Lazio in recent weeks and I saw them score a late equaliser against Inter Milan on Saturday so I knew we needed a second goal.  ""No matter what anybody says, Lazio are favourites to win this competition."" Middlesbrough forward Boudewijn Zenden said he did not expect such a comfortable match after he scored both goals. ""We didn't expect it to be that one-sided,"" said Zenden. ""We did quite well in the first half, we pressured them and they didn't cope with that. ""I think we played quite well and it was a very good game, especially in the first half."" The Holland international said Boro are confident of progressing in the competition after winning their first two group games. ""We've got a very good feeling, there is a good spirit, all the lads work hard for each other and it's a squad of friendly players, which I think you can see on the pitch,"" he added. ",0.7358326638489352
77,"Corry backs skipper Robinson"," England forward Martin Corry says Jason Robinson is the right man to lead the national team back to winning ways.  After losses to Wales and France, critics have started to wonder whether Robinson can captain from full-back. But Corry has backed Robinson, who was given the role after the injury to fly-half Jonny Wilkinson, ahead of this weekend's trip to Ireland. ""Jason is doing a tremendous job. Every week my respect for him goes up,"" Corry told BBC Radio Five Live. ""He is an inspirational captain. When he talks with the squad he talks with a lot of sense. ""The players have a lot of respect for him. It's an honour to be in the England side and an honour to play under him.""  England are under immense pressure following their poor start to the year and victory is vital if they are to rescue their Six Nations campaign. But Corry insists England are in the right frame of mind for the contest. ""There is apprehension going into every game,"" he added. ""But you have to use that fear and put it into a positive mindset. ""When the whistle goes on Sunday, what has happened in the past does not count for anything.  ""We have not performed but if we put in a performance on Sunday then we can start turning results around. ""There are a lot of changes taking place with England and we are at the start of something. We have not got off to the greatest of starts but you need to experience the bad the before you can fully appreciate the good.""  A trip to Lansdowne Road is daunting at any time, especially against an Ireland side that are flying high after two impressive wins. They are the form team of the tournament and are tipped to claim their first Grand Slam since 1948. But Corry is relishing the prospect of taking on the Irish in their own backyard. ""They are full of confidence and are playing a great team game,"" he said. ""The forwards are creating a great platform and they have explosive runners out wide. ""If you look at the team on paper, they have stars from one to 15. It's a huge task but it is a great opportunity for us. ""Lansdowne Road is a tremendous venue to play in and we have to use it to our advantage."" ",0.7403535500432201
187,"Fuming Robinson blasts officials"," England coach Andy Robinson said he was ""livid"" after his side were denied two tries in Sunday's 19-13 Six Nations loss to Ireland in Dublin.  Mark Cueto's first-half effort was ruled out for offside before the referee spurned TV replays when England crashed over in the dying minutes. ""[I'm] absolutely spitting. I'm livid. There's two tries we've been cost,"" Robinson told BBC Sport. ""We've got to go back to technology. I don't know why we didn't."" South African referee Jonathan Kaplan ruled that Cueto was ahead of Charlie Hodgson when the fly-half hoisted his cross-field kick for the Sale wing to gather.  Kaplan then declined the chance to consult the fourth official when Josh Lewsey took the ball over the Irish line under a pile of bodies for what could have been the game-winning try. ""I think Mark Cueto scored a perfectly legal try and I think he should have gone to the video referee on Josh Lewsey,"" said Robinson. ""It is how we use the technology. It is there, and it should be used.  ""I am still trying to work out the Cueto try. I have looked at both, and they both looked tries. ""We are very disappointed, and this will hurt, there is no doubt about that. ""We are upset now, but the referee is in charge and he has called it his way and we have got to be able to cope with that.  ""We did everything we could have done to win the game. I am very proud of my players and, with a couple of decisions, this could have been a very famous victory. ""I thought we dominated. Matt Stevens had an awesome game at tighthead prop, while the likes of Charlie Hodgson, Martin Corry and Lewis Moody all came through well. ""Josh Lewsey was awesome, and every one of the forwards stood up out there. Given the pressure we were under, credit must go to all the players. ""We have done everything but win a game of rugby, but Ireland are a good side. They defended magnificently and they've got every chance of winning this Six Nations."" England have lost their first three matches in this year's Six Nations and four out of their six games since Robinson took over from Sir Clive Woodward in September. ",0.7474956695730288
